Year,Course,Weekday,Period,Classroom
1,1,1,3,303
1,1,3,2,302
1,1,4,3,301
1,2,1,2,301
1,2,2,4,302
1,2,3,2,303
1,3,2,3,302
1,3,3,4,302
1,3,4,1,303
1,4,1,4,303
1,4,3,4,303
1,4,4,2,302
2,1,1,3,302
2,1,2,4,301
2,1,3,4,301
2,2,1,4,301
2,2,2,4,303
2,2,4,4,302
2,3,1,2,302
2,3,2,2,302
2,3,4,3,302
2,4,1,1,303
2,4,3,3,302
2,4,4,1,301
3,1,2,1,301
3,1,3,1,303
3,1,4,2,301
3,2,1,4,302
3,2,2,1,303
3,2,3,2,301
3,3,1,2,303
3,3,3,1,301
3,3,4,1,302
3,4,1,3,301
3,4,2,3,303
3,4,4,4,301
4,1,1,1,301
4,1,2,2,303
4,1,4,4,303
4,2,2,1,302
4,2,3,1,302
4,2,4,2,303
4,3,1,1,302
4,3,2,3,301
4,3,3,3,303
4,4,2,2,301
4,4,3,3,301
4,4,4,3,303
